protocol,port,description
TCP,80,World Wide Web HTTP
TCP,23,Telnet
TCP,443,HTTP protocol over TLS/SSL
TCP,21,File Transfer [Control]
TCP,22,SSH Remote Login Protocol
TCP,25,Simple Mail Transfer
TCP,3389,MS Terminal Server
TCP,110,Post Office Protocol - Version 3
TCP,445,Microsoft-DS
TCP,139,NETBIOS Session Service
TCP,143,Internet Message Access Protocol
TCP,53,Domain Name Server
TCP,135,DCE endpoint resolution
TCP,3306,MySQL
TCP,8080,HTTP / HTTP Proxy
TCP,1723,pptp
TCP,111,SUN Remote Procedure Call
TCP,995,POP3 protocol over TLS/SSL
TCP,993,IMAP4 protocol over TLS/SSL
TCP,5900,VNC Virtual Network Computing
TCP,1025,MSTASK / network blackjack
TCP,587,Message Submission (Sendmail)
TCP,8888,NewsEDGE server TCP / AnswerBook2
TCP,199,SMUX
TCP,1720,h323hostcall
TCP,465,SMTPS
TCP,548,AppleShare AFP over TCP
TCP,113,Authentication Service
TCP,81,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm
TCP,6001,Cisco mgmt
TCP,10000,Webmin / Network Data Management Protocol/ Dumaru.Y (Windows trojan)
TCP,514,Remote Shell
TCP,5060,SIP
TCP,179,Border Gateway Protocol
TCP,1026,MSTASK / Remote Login Network Terminal
TCP,2000,Remotely Anywhere / VIA NET.WORKS PostOffice Plus
Unknown,8443,Unknown
TCP,8000,HTTP/iRDMI
TCP,32768,Filenet TMS
TCP,554,Real Time Stream Control Protocol
TCP,26,Unassigned
TCP,1433,Microsoft-SQL-Server
Unknown,49152,Unknown
TCP,2001,Cisco mgmt / Remotely Anywhere
TCP,515,spooler
TCP,8008,HTTP Alternate
Unknown,49154,Unknown
Unknown,1027,Unknown
Unknown,5666,Unknown
TCP,646,LDP
TCP,5000,UPnP / filmaker.com / Socket de Troie (Windows Trojan)
TCP,5631,pcANYWHEREdata
TCP,631,IPP (Internet Printing Protocol)
Unknown,49153,Unknown
TCP,8081,HTTP / HTTP Proxy
TCP,2049,Network File System - Sun Microsystems
TCP,88,Kerberos
TCP,79,Finger
TCP,5800,VNC Virtual Network Computing
TCP,106,3COM-TSMUX
TCP,2121,CCProxy FTP / SCIENTIA-SSDB
TCP,1110,Cluster status info
Unknown,49155,Unknown
TCP,6000,X-Windows / W32.LoveGate.ak virus
TCP,513,Remote Login
TCP,990,FTP protocol control over TLS/SSL
Unknown,5357,Unknown
TCP,427,Server Location
Unknown,49156,Unknown
TCP,543,kerberos (v4/v5)
TCP,544,krcmd
TCP,5101,Yahoo! Messenger
TCP,144,Universal Management Architecture
TCP,7,Echo
TCP,389,Lightweight Directory Access Protocol / Internet Locator Service (ILS)
TCP,8009,Apache JServ Protocol
TCP,3128,Squid HTTP Proxy / W32.Mydoom.B virus
TCP,444,Simple Network Paging Protocol
TCP,9999,distinct / Win32/Dabber (Windows worm)
Unknown,5009,Unknown
TCP,7070,ARCP
TCP,5190,America-Online
TCP,3000,RemoteWare Client
TCP,5432,postgres database server
TCP,1900,SSDP
TCP,3986,MAPPER workstation server
TCP,13,Daytime (RFC 867)
Unknown,1029,Unknown
TCP,9,Discard
TCP,5051,ITA Agent
Unknown,6646,Unknown
Unknown,49157,Unknown
Unknown,1028,Unknown
TCP,873,rsync
TCP,1755,Microsoft Streaming Server
TCP,2717,PN REQUESTER
TCP,4899,RAdmin Win32 remote control
TCP,9100,HP JetDirect
TCP,119,Network News Transfer Protocol
TCP,37,Time / W32.Sober.I virus
TCP,1000,cadlock
TCP,3001,Phatbot Worm / Redwood Broker
TCP,5001,filmaker.com / Socket de Troie (Windows Trojan)
TCP,82,XFER Utility
Unknown,10010,Unknown
TCP,1030,BBN IAD
TCP,9090,WebSM
TCP,2107,Microsoft Message Queuing Management / BinTec Admin
TCP,1024,Reserved
TCP,2103,Microsoft Message Queuing RPC / Zephyr serv-hm connection
Unknown,6004,Unknown
TCP,1801,Microsoft Message Queuing
TCP,5050,Yahoo Messenger / multimedia conference control tool
TCP,19,Character Generator
Unknown,8031,Unknown
Unknown,1041,Unknown
Unknown,255,Unknown
TCP,1049,Tobit David Postman VPMN
TCP,1048,Sun's NEO Object Request Broker
TCP,2967,SSC-AGENT
TCP,1053,Remote Assistant (RA)
Unknown,3703,Unknown
TCP,1056,VFO
TCP,1065,SYSCOMLAN
TCP,1064,JSTEL
TCP,1054,BRVREAD
TCP,17,Quote of the Day
TCP,808,CCProxy
TCP,3689,Apple Digital Audio Access Protocol
TCP,1031,InetInfo / BBN IAD
Unknown,1044,Unknown
TCP,1071,BSQUARE-VOIP
TCP,5901,VNC Virtual Network Computing
TCP,100,[unauthorized use]
Unknown,9102,Unknown
TCP,8010,Wingate HTTP Proxy
TCP,2869,SSDP event notification / ICSLAP
Unknown,1039,Unknown
Unknown,5120,Unknown
TCP,4001,Cisco mgmt / NewOak
TCP,9000,CSlistener
TCP,2105,Microsoft Message Queuing RPC / MiniPay
TCP,636,LDAP protocol over TLS/SSL
Unknown,1038,Unknown
TCP,2601,discp client
TCP,1,Port Service Multiplexer
TCP,7000,IRC / file server itself
TCP,1066,FPO-FNS
